timestamp,elapsed_time,Plastic_1_in_water_pixel_area,Plastic_1_in_water_area_cm2,Plastic_2_in_acid_pixel_area,Plastic_2_in_acid_area_cm2
20250411_114117,875.52,102136.5,4.118415494895506,101489.0,4.092306571709917
20250411_114127,885.55,101987.5,4.112407418363224,0,0.0
20250411_114137,895.58,102004.0,4.113072742274517,0,0.0
20250411_114147,905.62,101987.5,4.112407418363224,0,0.0
20250411_114157,915.66,102020.5,4.11373806618581,101545.5,4.09458480207283
20250411_114207,925.69,101962.5,4.111399351830961,101465.5,4.091358989169591
20250411_114217,935.72,101967.5,4.111600965137415,101599.5,4.096762225782516
20250411_114227,945.76,101943.5,4.1106332212664425,101518.5,4.093496090217987
20250411_114237,955.79,101957.0,4.111177577193864,101523.5,4.093697703524439
20250411_114247,965.80,102072.0,4.115814683242269,0,0.0
20250411_114257,975.88,102015.5,4.113536452879358,0,0.0
20250411_114307,985.92,101897.0,4.108758217516435,101457.5,4.091036407879267
20250411_114317,995.95,102017.5,4.113617098201939,0,0.0
20250411_114327,1005.96,102048.0,4.114846939371298,101517.5,4.093455767556696
20250411_114337,1016.05,101989.5,4.112488063685805,101439.5,4.090310599976038
20250411_114347,1026.10,102037.5,4.114423551427748,0,0.0
20250411_114357,1036.12,102010.0,4.11331467824226,101439.0,4.090290438645393
20250411_114407,1046.16,101936.5,4.110350962637409,0,0.0
20250411_114417,1056.19,101998.0,4.112830806306774,101523.5,4.093697703524439
20250411_114427,1066.23,102030.0,4.114121131468069,101454.0,4.0908952785647505
20250411_114437,1076.26,101950.5,4.110915479895476,0,0.0
20250411_114447,1086.29,102012.5,4.113415484895486,101442.5,4.09043156795991
20250411_114457,1096.32,102024.5,4.113899356830972,0,0.0
20250411_114507,1106.36,101894.5,4.108657410863209,101585.5,4.096197708524449
20250411_114517,1116.40,102062.0,4.1154114566293645,101568.0,4.095492061951866
20250411_114527,1126.43,101917.5,4.1095848320728905,0,0.0
20250411_114537,1136.47,101917.0,4.109564670742245,101411.5,4.089181565459905
20250411_114547,1146.50,101890.0,4.108475958887402,101534.5,4.094141252798634
20250411_114558,1156.52,102076.0,4.115975973887432,0,0.0
20250411_114608,1166.56,101947.5,4.110794511911605,101505.5,4.09297189562121
20250411_114618,1176.59,102008.0,4.113234032919679,101623.5,4.0977299696534875
20250411_114628,1186.64,102086.5,4.1163993618309815,101914.0,4.109443702758373
20250411_114638,1196.67,101963.5,4.111439674492252,101526.5,4.093818671508311
