Summary
[Data Information]
Data is:	Measurement Data
Dataset Name:	RawData
Sample Name:	1g-20ml-PVB
Sample ID:	1g-20ml-PVB
Option
Analyst
Date/Time:	05/28/2025 04:29:16 PM
Comments
Parameter File Name:	200-800nm.vspm
Report File Name
[Software Information]
Software Name:	LabSolutions UV-Vis
Version:	1.14
[Instrument Information]
Instrument Name:	BNT
Instrument Type:	UV-1900 Series
Model (S/N):	SBN-SPEC-158 (A12425600028)

Parameter
[Measurement]
Start:	900 nm
End:	190 nm
Data Interval:	1.0
Scan Speed:	High speed
Spectrum Type:	Absorbance
[Accessories]
533.0	1.262
534.0	1.260
535.0	1.257
536.0	1.254
537.0	1.251
538.0	1.249
539.0	1.246
540.0	1.244
541.0	1.242
542.0	1.240
543.0	1.238
544.0	1.236
545.0	1.234
546.0	1.232
547.0	1.230
548.0	1.228
549.0	1.226
550.0	1.224
551.0	1.222
552.0	1.220
553.0	1.219
554.0	1.217
555.0	1.215
556.0	1.213
557.0	1.211
558.0	1.209
559.0	1.207
560.0	1.206
561.0	1.204
562.0	1.202
563.0	1.200
564.0	1.199
565.0	1.197
566.0	1.195
567.0	1.194
568.0	1.192
569.0	1.190
570.0	1.188
571.0	1.187
572.0	1.185
573.0	1.183
574.0	1.181
575.0	1.179
576.0	1.178
577.0	1.176
578.0	1.174
579.0	1.172
580.0	1.170
581.0	1.168
582.0	1.166
583.0	1.164
584.0	1.163
585.0	1.161
586.0	1.159
587.0	1.157
588.0	1.155
589.0	1.153
590.0	1.151
591.0	1.149
592.0	1.147
593.0	1.146
594.0	1.144
595.0	1.142
596.0	1.140
597.0	1.138
598.0	1.136
599.0	1.134
600.0	1.132
601.0	1.130
602.0	1.128
603.0	1.126
604.0	1.124
605.0	1.122
606.0	1.120
607.0	1.118
608.0	1.116
609.0	1.114
610.0	1.112
611.0	1.110
612.0	1.108
613.0	1.106
614.0	1.104
615.0	1.102
616.0	1.100
617.0	1.098
618.0	1.096
619.0	1.094
620.0	1.092
621.0	1.090
622.0	1.088
623.0	1.085
624.0	1.083
625.0	1.081
626.0	1.079
627.0	1.077
628.0	1.075
629.0	1.073
630.0	1.071
631.0	1.069
632.0	1.067
633.0	1.064
634.0	1.062
635.0	1.060
636.0	1.058
637.0	1.056
638.0	1.054
639.0	1.052
640.0	1.049
641.0	1.047
642.0	1.045
643.0	1.043
644.0	1.041
645.0	1.039
646.0	1.037
647.0	1.034
648.0	1.032
649.0	1.030
650.0	1.028
651.0	1.025
652.0	1.023
653.0	1.021
654.0	1.019
655.0	1.016
656.0	1.014
657.0	1.012
658.0	1.010
659.0	1.008
660.0	1.006
661.0	1.003
662.0	1.001
663.0	0.999
664.0	0.997
665.0	0.995
666.0	0.993
667.0	0.991
668.0	0.988
669.0	0.986
670.0	0.984
671.0	0.982
672.0	0.980
673.0	0.977
674.0	0.975
675.0	0.973
676.0	0.970
677.0	0.968
678.0	0.966
679.0	0.964
680.0	0.962
681.0	0.959
682.0	0.957
683.0	0.955
684.0	0.953
685.0	0.950
686.0	0.948
687.0	0.946
688.0	0.944
689.0	0.942
690.0	0.939
691.0	0.937
692.0	0.935
693.0	0.933
694.0	0.931
695.0	0.929
696.0	0.926
697.0	0.924
698.0	0.922
699.0	0.920
700.0	0.917
701.0	0.915
702.0	0.913
703.0	0.911
704.0	0.908
705.0	0.906
706.0	0.904
707.0	0.902
708.0	0.900
709.0	0.898
710.0	0.896
711.0	0.894
712.0	0.891
713.0	0.889
714.0	0.887
715.0	0.885
716.0	0.883
717.0	0.881
718.0	0.879
719.0	0.876
720.0	0.874
721.0	0.872
722.0	0.870
723.0	0.868
724.0	0.866
725.0	0.864
726.0	0.862
727.0	0.859
728.0	0.857
729.0	0.856
730.0	0.854
731.0	0.852
732.0	0.850
733.0	0.848
734.0	0.846
735.0	0.845
736.0	0.843
737.0	0.841
738.0	0.840
739.0	0.838
740.0	0.837
741.0	0.835
742.0	0.833
743.0	0.830
744.0	0.828
745.0	0.825
746.0	0.822
747.0	0.820
748.0	0.817
749.0	0.814
750.0	0.812
751.0	0.809
752.0	0.807
753.0	0.805
754.0	0.803
755.0	0.801
756.0	0.799
757.0	0.797
758.0	0.795
759.0	0.793
760.0	0.791
761.0	0.789
762.0	0.787
763.0	0.785
764.0	0.783
765.0	0.781
766.0	0.779
767.0	0.776
768.0	0.774
769.0	0.772
770.0	0.770
771.0	0.768
772.0	0.766
773.0	0.764
774.0	0.762
775.0	0.761
776.0	0.759
777.0	0.757
778.0	0.755
779.0	0.753
780.0	0.751
781.0	0.749
782.0	0.747
783.0	0.745
784.0	0.743
785.0	0.741
786.0	0.739
787.0	0.737
788.0	0.735
789.0	0.733
790.0	0.731
791.0	0.729
792.0	0.727
793.0	0.725
794.0	0.723
795.0	0.721
796.0	0.719
797.0	0.717
798.0	0.716
799.0	0.714
800.0	0.712
801.0	0.710
802.0	0.709
803.0	0.707
804.0	0.705
805.0	0.703
806.0	0.701
807.0	0.700
808.0	0.698
809.0	0.696
810.0	0.694
811.0	0.692
812.0	0.690
813.0	0.688
814.0	0.686
815.0	0.684
816.0	0.682
817.0	0.680
818.0	0.678
819.0	0.676
820.0	0.674
821.0	0.672
822.0	0.671
823.0	0.669
824.0	0.667
825.0	0.665
826.0	0.663
827.0	0.661
828.0	0.660
829.0	0.658
830.0	0.656
831.0	0.654
832.0	0.652
833.0	0.651
834.0	0.649
835.0	0.647
836.0	0.645
837.0	0.643
838.0	0.641
839.0	0.640
840.0	0.638
841.0	0.636
842.0	0.634
843.0	0.632
844.0	0.631
845.0	0.629
846.0	0.627
847.0	0.626
848.0	0.624
849.0	0.622
850.0	0.621
851.0	0.619
852.0	0.617
853.0	0.616
854.0	0.614
855.0	0.612
856.0	0.611
857.0	0.609
858.0	0.607
859.0	0.606
860.0	0.604
861.0	0.603
862.0	0.601
863.0	0.600
864.0	0.598
865.0	0.597
866.0	0.596
867.0	0.594
868.0	0.593
869.0	0.591
870.0	0.590
871.0	0.589
872.0	0.588
873.0	0.586
874.0	0.585
875.0	0.584
876.0	0.583
877.0	0.582
878.0	0.581
879.0	0.580
880.0	0.578
881.0	0.577
882.0	0.575
883.0	0.574
884.0	0.572
885.0	0.571
886.0	0.570
887.0	0.569
888.0	0.568
889.0	0.567
890.0	0.567
891.0	0.566
892.0	0.566
893.0	0.567
894.0	0.567
895.0	0.568
896.0	0.569
897.0	0.571
898.0	0.573
899.0	0.575
900.0	0.577
