timestamp,elapsed_time,Test_fast_Dissolving_1_avg_intensity,Test_fast_Dissolving_1_std_intensity,Test_fast_Dissolving_1_min_intensity,Test_fast_Dissolving_1_max_intensity
15_09_11,305.04,219.32219642857143,2.5066013196560655,201,235
15_09_13,307.15,218.64463928571428,2.795039134384767,195,234
15_09_15,309.23,218.45041785714287,2.50077962922902,202,233
15_09_17,311.32,218.46608928571428,2.7700000114542656,204,235
15_09_19,313.40,218.48308571428572,2.779573383210643,201,235
15_09_21,315.51,218.447325,3.0854341535355396,200,236
15_09_23,317.58,218.613225,2.536852963125348,197,232
15_09_25,319.68,218.37381785714285,3.0537973192116037,189,237
15_09_27,321.76,218.563775,2.7806134792170547,197,233
15_09_29,323.86,218.38526071428572,2.5332445111865205,200,231
15_09_32,325.95,218.3737857142857,2.4520396663818884,201,232
15_09_34,328.05,218.17588571428573,2.9444621024311144,202,235
15_09_36,330.12,218.63590714285715,2.50413243430143,204,232
15_09_38,332.22,218.47892142857143,2.4455495980829487,200,232
15_09_40,334.31,218.89489642857143,3.2600930677975333,201,239
15_09_42,336.40,218.24820357142858,2.487696579738854,197,233
15_09_44,338.48,218.2293892857143,2.4533749026070897,194,232
15_09_46,340.58,218.88835357142858,2.371903109467486,199,232
15_09_48,342.67,219.56233571428572,3.897866629160686,188,241
15_09_50,344.77,218.74122142857144,2.466547197914691,203,232
15_09_53,346.85,218.95951428571428,2.475539662623988,194,233
15_09_55,348.94,218.156875,2.398191480518631,201,232
15_09_57,351.02,218.474075,2.5616120833966196,198,235
15_09_59,353.12,219.101575,2.563967423339545,203,233
15_10_01,355.20,219.02515357142858,2.4279869994036125,204,233
15_10_03,357.31,218.0500607142857,2.3837719951549903,198,233
15_10_05,359.38,218.81487142857142,3.5728778293512056,204,239
15_10_07,361.48,218.19603928571428,2.452918238378711,201,232
15_10_09,363.56,218.90802857142856,2.6018589177269207,204,234
15_10_11,365.66,218.653975,2.585146911979638,196,234
15_10_13,367.75,218.78473214285714,2.8680504390804726,206,237
15_10_15,369.85,217.92231071428571,2.45471341429377,199,232
15_10_18,371.93,218.17815,2.797727088765858,200,232
15_10_20,374.02,218.58569642857142,2.7004085102313873,204,237
15_10_22,376.10,218.99506071428573,2.4426011961547536,203,231
15_10_24,378.21,219.02703571428572,3.2501238106322616,204,237
15_10_26,380.28,217.9081892857143,2.4883520234770535,201,233
15_10_28,382.38,218.59783214285713,2.4951567973280855,202,234
15_10_30,384.47,218.47406785714287,2.512019468412043,196,233
15_10_32,386.56,219.03432857142857,3.739396453292691,201,238
15_10_34,388.64,218.55158214285714,2.6363916080714747,201,234
15_10_36,390.75,218.54344642857143,2.6070464091137615,202,233
15_10_38,392.83,218.27426428571428,2.524243980484098,201,232
15_10_41,394.92,218.79172857142856,2.3774584594323684,193,231
15_10_43,397.01,218.39514642857142,2.7098784922657306,199,233
15_10_45,399.11,218.27813571428572,2.4370557081114854,200,233
15_10_47,401.19,218.16361785714287,2.655474920605886,198,233
15_10_49,403.29,218.52677857142857,3.6932908352614917,184,239
15_10_51,405.38,218.56667142857142,2.4104929680842617,195,231
15_10_53,407.46,218.52510714285714,2.7100813751525945,192,234
15_10_55,409.55,218.45410714285714,2.4371340580878673,195,233
15_10_57,411.63,218.36800357142857,2.4951134700767965,203,235
15_10_59,413.74,218.90704642857142,3.315220148581188,200,238
15_11_01,415.82,218.30811785714286,2.6882819447894826,198,232
15_11_04,417.91,218.68331785714287,3.0501197152797572,201,238
15_11_06,419.99,219.38488928571428,2.7518733012829233,201,235
15_11_08,422.10,218.67093571428572,3.305478501584722,202,237
15_11_10,424.18,218.46465714285713,2.470601609126896,197,233
15_11_12,426.28,218.27415,2.6644884913163245,197,235
