timestamp,last_capture_time,crack_area,area_m2
20250408_135131,0,1752240.5,4.3285069920218
20250408_135151,10,1686497.0,4.166102801826455
20250408_135211,20,1691055.5,4.177363527236656
20250408_135231,30,1688832.0,4.171870882079349
20250408_135251,40,1692543.5,4.181039288871048
20250408_135311,50,1694351.0,4.18550430174347
20250408_135331,60,1699120.5,4.197286254105858
20250408_135352,70,1696767.5,4.191473708994485
20250408_135412,80,1701794.0,4.203890520725179
20250408_135432,90,1705430.5,4.212873657273208
20250408_135452,100,1706921.5,4.216556829717347
20250408_135512,110,1707674.0,4.218415707828825
20250408_135532,120,1705299.0,4.212548816779308
20250408_135552,130,1708839.0,4.221293572280484
20250408_135612,140,1708666.5,4.2208674507200445
20250408_135632,150,1706574.0,4.21569841092168
20250408_135653,160,1710707.5,4.225909271617756
20250408_135713,170,1709478.5,4.222873309891502
20250408_135733,180,1708589.5,4.220677239936545
20250408_135753,190,1715472.5,4.237680107765525
20250408_135813,200,1712580.0,4.230534852034692
20250408_135833,210,1710282.0,4.224858171768675
20250408_135854,220,1712944.0,4.231434030283966
20250408_135914,230,1710957.0,4.226525603961695
20250408_135934,240,1711338.0,4.227466776799534
20250408_135954,250,1714207.5,4.234555216322308
20250408_140014,260,1718841.5,4.246002447111136
20250408_140034,270,1714133.0,4.234371181213597
20250408_140054,280,1713425.0,4.232622230113362
20250408_140114,290,1715940.0,4.238834958951061
20250408_140135,300,1718883.0,4.246104963312632
20250408_140155,310,1717742.5,4.243287620473906
20250408_140215,320,1716789.5,4.240933453244352
20250408_140235,330,1716534.0,4.24030229928092
20250408_140255,340,1718826.0,4.245964157927443
20250408_140315,350,1718074.0,4.244106514950922
20250408_140335,360,1716534.5,4.240303534415878
20250408_140355,370,1716554.0,4.240351704679232
20250408_140415,380,1718628.0,4.245475044484158
20250408_140436,390,1722418.0,4.254837367464229
20250408_140456,400,1723711.0,4.258031426465083
20250408_140516,410,1720617.5,4.250389646481216
20250408_140536,420,1718074.5,4.24410775008588
20250408_140556,430,1724980.0,4.2611661989879615
20250408_140617,440,1721438.0,4.2524165029469545
20250408_140637,450,1720435.5,4.24994005735658
20250408_140657,460,1721684.0,4.253024189346189
20250408_140717,470,1720392.5,4.249833835750209
20250408_140737,480,1717614.0,4.242970190789753
20250408_140757,490,1724781.5,4.260675850409718
20250408_140817,500,1719568.0,4.247797098204808
20250408_140837,510,1721134.0,4.251665540892617
20250408_140858,520,1724286.0,4.259451831666544
20250408_140918,530,1727449.0,4.267265295409544
20250408_140938,540,1721929.5,4.253630640610465
20250408_140958,550,1723013.0,4.256307178064003
20250408_141018,560,1726521.0,4.26497288492788
20250408_141038,570,1724517.5,4.260023699152002
20250408_141058,580,1725243.0,4.261815879975761
20250408_141118,590,1726128.5,4.264003303986012
