timestamp,last_capture_time,crack_area,area_m2
20250408_141219,0,1724466.5,4.259897715386308
timestamp,last_capture_time,crack_area,area_m2
20250408_141239,0,1720071.0,4.249039643972348
timestamp,last_capture_time,crack_area,area_m2
20250408_141259,0,1722198.5,4.2542951432177585
timestamp,last_capture_time,crack_area,area_m2
20250408_141320,0,1722185.5,4.254263029708856
timestamp,last_capture_time,crack_area,area_m2
20250408_141340,0,1725276.5,4.261898634017933
timestamp,last_capture_time,crack_area,area_m2
20250408_141400,0,1723246.5,4.256883986089292
timestamp,last_capture_time,crack_area,area_m2
20250408_141420,0,1725836.0,4.263280750035703
timestamp,last_capture_time,crack_area,area_m2
20250408_141440,0,1724950.0,4.261092090890494
timestamp,last_capture_time,crack_area,area_m2
20250408_141500,0,1726508.5,4.264942006553935
timestamp,last_capture_time,crack_area,area_m2
20250408_141521,0,1725794.0,4.263176998699249
timestamp,last_capture_time,crack_area,area_m2
20250408_141541,0,1726988.5,4.2661277361134164
timestamp,last_capture_time,crack_area,area_m2
20250408_141601,0,1724755.5,4.260611623391912
timestamp,last_capture_time,crack_area,area_m2
20250408_141621,0,1725350.5,4.262081433991686
timestamp,last_capture_time,crack_area,area_m2
20250408_141641,0,1721776.0,4.253251454178423
timestamp,last_capture_time,crack_area,area_m2
20250408_141701,0,1723759.0,4.25814999942103
timestamp,last_capture_time,crack_area,area_m2
20250408_141722,0,1723507.5,4.257528726537261
timestamp,last_capture_time,crack_area,area_m2
20250408_141742,0,1725331.5,4.26203449886329
timestamp,last_capture_time,crack_area,area_m2
20250408_141802,0,1727414.5,4.267180071097456
timestamp,last_capture_time,crack_area,area_m2
20250408_141822,0,1722266.0,4.25446188643706
timestamp,last_capture_time,crack_area,area_m2
20250408_141842,0,1722830.0,4.255855118669451
timestamp,last_capture_time,crack_area,area_m2
20250408_141902,0,1726880.5,4.265860946962533
timestamp,last_capture_time,crack_area,area_m2
20250408_141922,0,1725735.0,4.263031252774229
timestamp,last_capture_time,crack_area,area_m2
20250408_141942,0,1726390.0,4.264649279568937
timestamp,last_capture_time,crack_area,area_m2
20250408_142002,0,1726308.0,4.26444671743586
timestamp,last_capture_time,crack_area,area_m2
20250408_142023,0,1724400.0,4.259733442436921
timestamp,last_capture_time,crack_area,area_m2
20250408_142043,0,1727379.0,4.2670923765154525
timestamp,last_capture_time,crack_area,area_m2
20250408_142103,0,1726733.5,4.265497817284942
timestamp,last_capture_time,crack_area,area_m2
20250408_142123,0,1729681.0,4.272778937861132
timestamp,last_capture_time,crack_area,area_m2
20250408_142143,0,1726332.0,4.264506003913834
timestamp,last_capture_time,crack_area,area_m2
20250408_142203,0,1726850.5,4.265786838865066
timestamp,last_capture_time,crack_area,area_m2
20250408_142223,0,1725962.5,4.263593239180024
timestamp,last_capture_time,crack_area,area_m2
20250408_142244,0,1726805.5,4.265675676718864
timestamp,last_capture_time,crack_area,area_m2
20250408_142304,0,1733572.0,4.282390758102679
timestamp,last_capture_time,crack_area,area_m2
20250408_142324,0,1728050.0,4.268749927628811
timestamp,last_capture_time,crack_area,area_m2
20250408_142344,0,1726817.5,4.265705319957851
timestamp,last_capture_time,crack_area,area_m2
20250408_142404,0,1729837.0,4.273164299967964
timestamp,last_capture_time,crack_area,area_m2
20250408_142424,0,1724781.0,4.26067461527476
timestamp,last_capture_time,crack_area,area_m2
20250408_142444,0,1727846.5,4.268247227700989
timestamp,last_capture_time,crack_area,area_m2
20250408_142505,0,1728656.5,4.270248146332614
timestamp,last_capture_time,crack_area,area_m2
20250408_142525,0,1732682.0,4.280192217877807
timestamp,last_capture_time,crack_area,area_m2
20250408_142545,0,1728348.0,4.269486068063656
timestamp,last_capture_time,crack_area,area_m2
20250408_142605,0,1728119.5,4.2689216113879445
timestamp,last_capture_time,crack_area,area_m2
20250408_142625,0,1728722.5,4.270411184147043
timestamp,last_capture_time,crack_area,area_m2
20250408_142645,0,1726062.0,4.263839031036626
